Short reference,Reference,URL
Malhotra and others (2020),"Malhotra, D., Ronald, E., Evans, B., and Williamson, P., 2020, NI [Canadian National Instrument] 43-101 feasibility study (Johnny Lee deposit) and mineral resource estimate update (Lowry deposit), Black Butte Copper Project: Vancouver, British Columbia, Canada, Sandfire Resources America, Inc., prepared by GR Engineering Services, Lakewood, Colorado, 622 p., accessed December 1, 2021, at http://www.sandfireamerica.com/assets/docs/library/SRA-Black-Butte-Copper-NI-43-101-FS-Technical-Report-8Dec2020.pdf.",http://www.sandfireamerica.com/assets/docs/library/SRA-Black-Butte-Copper-NI-43-101-FS-Technical-Report-8Dec2020.pdf
Mallot and others (1949),"Mallot, E.E., Boos, M.F., and Mosier, M., 1949, Investigation of Black Mountain beryl deposit, Oxford County, Maine: U.S. Bureau of Mines Report of Investigations 4412, 10 p.",
Martin (2013),"Martin, W., 2013, NI [Canadian National Instrument] 43-101 technical report on the Deer Trail mine project, Piute County, Utah: Vancouver, British Columbia, Canada, Western Pacific Resources Corporation, prepared by JBR Environmental Consultants, Inc, Boise, Idaho, 68 p.",
Materion Corp. (2012-2021),"Materion Corp., 2012-2021, Materion Corp. 10-K: Edgar Securities and Exchange Commission, variously paged, accessed September 14, 2021, at https://www.sec.gov/edgar/searchedgar/companysearch.html.",https://www.sec.gov/edgar/searchedgar/companysearch.html
Mathisen (2022),"Mathisen, M.B., 2022, NI [Canadian National Instrument] 43-101 technical report on the La Sal project, San Juan County, Utah: Lakewood, Colorado, Energy Fuels Inc., prepared by SLR International Corporation, Lakewood, Colorado, 117 p.",
Matson (1946),"Matson, E.J. 1946, Exploration of the Mount Hope mine, Eureka County, Nevada: U.S. Bureau of Mines Report of Investigations 3928, 7 p.",
McAnulty (1967),"McAnulty, W.N., 1967, Fluorspar in Brewster County, Texas [Christmas Mountains - Corazones Peaks area]: University of Texas at Austin, Bureau of Economic Geology, Geological Circular 67-2, 16 p.",
McAnulty (1978),"McAnulty, W.N., 1978, Fluorspar in New Mexico: New Mexico Bureau of Mines & Mineral Resources, Memoir 34, 64 p., 14 sheets, accessed on September 2, 2021, at https://geoinfo.nmt.edu/publications/monographs/memoirs/34/.",https://geoinfo.nmt.edu/publications/monographs/memoirs/34/
McDonald and others (1990),"McDonald, W.R., Johnson, J.L., Greaves, J.N., and Wetzel, N., 1990, Chromite recovery from northern California ores using a physical concentration process: U.S. Bureau of Mines Report of Investigations 9330, 32 p.",
McLemore (2010a),"McLemore, V.T., 2010a, Distribution, origin, and mineral resource potential of Late Cretaceous heavy mineral, beach-placer sandstone deposits, San Juan Basin, New Mexico, in Fassett, J.E., Zeigler, K.E., and Lueth, V., eds, Geology of the Four Corners country: New Mexico Geological Society 61st Fall Field Conference Guidebook, p. 197–212.",
McLemore (2010b),"McLemore, V.T., 2010b, Beryllium resources in New Mexico and adjacent areas: New Mexico Bureau of Geology and Mineral Resources-New Mexico Institute of Mining and Technology Open-file Report OF-533, 106 p.",
McLemore (2017),"McLemore, V.T., 2017, Mining districts and prospect areas in New Mexico: New Mexico Bureau of Mines and Mineral Resources, Resource Map 24, p. 1–65, 1 plate, scale 1:1,000,000.",
McLemore (2018),"McLemore, V.T., 2018, Rare earth elements (REE) deposits associated with Great Plain margin deposits (alkaline-related), southwestern United States and eastern Mexico: Resources 7, no. 1: 8. https://doi.org/10.3390/resources7010008.",https://doi.org/10.3390/resources7010008
McLemore and others (1996),"McLemore, V.T., Sutphin, D.M., Hack, D.R., and Pease, T.C., 1996, Mining history and mineral resources of the Mimbres resource area, Dora Ana, Luna, Hidalgo, and Grant Counties, New Mexico: New Mexico Bureau of Mines and Mineral Resources, Open-File Report 424, 149 p.",
Mertie (1975),"Mertie, Jr., J.B., 1975, Monazite placers in the southeastern Atlantic States: U.S. Geological Survey Bulletin 1390, 41 p.",https://pubs.er.usgs.gov/publication/b1390
Methven and others (2018),"Methven, G., Nussipakynova, D., Bloom, L., Jin, Q., Kaye, C., Smith, R.M., Kottmeier, C., Bartlett, D., and Christenson, E., 2018, NI [Canadian National Instrument] 43-101 technical report Hermosa property mineral resource and Taylor deposit PEA update, Santa Cruz County, Arizona: Vancouver, British Columbia, Canada, Arizona Mining Inc., prepared by AMC Mining Consultants (Canada) Ltd., Vancouver, British Columbia, Canada, 245 p.",
"Millrock Resources, Inc. (2022)","Millrock Resources, Inc., 2022, Millrock outlines significant exploration target of Ni-Cu-Co-PGE mineralization at the Nikolia Project, Alaska: Millrock Resources Inc. press release dated October 5, 2022, accessed May 30, 2023, at https://www.millrockresources.com/news/millrock-outlines-significant-exploration-target-of-ni-cu-co-pge-mineralization-at-the-nikolai-project-alaska.",https://www.millrockresources.com/news/millrock-outlines-significant-exploration-target-of-ni-cu-co-pge-mineralization-at-the-nikolai-project-alaska
Mining Technology (2022),"Mining Technology, 2022, Bunker Hill mine restart, Idaho, USA: Mining Technology, September 26, 2022, accessed May 30, 2023, at https://www.mining-technology.com/projects/bunker-hill-mine-restart-idaho-usa/.",https://www.mining-technology.com/projects/bunker-hill-mine-restart-idaho-usa/
Miser (1941),"Miser, H.D., 1941, Manganese carbonate in the Batesville district, Arkansas: U.S. Geological Survey Bulletin 921-A, 97 p.",https://pubs.er.usgs.gov/publication/b921A
Mitchell (1997),"Mitchell, V.E., 1997, History of the Triumph, Independence, and North Star Mines, Blaine County, Idaho: Idaho Geological Survey Staff Report 97-1, 63 p.",
Mitchell (1999),"Mitchell, V.E., 1999, History of the mines in the Bayhorse area, Custer County, Idaho: Idaho Geological Survey Staff Report 99-8, 40 p.",
More and Stryhas (2007),"More, S.W., and Stryhas, B., 2007, NI [Canadian National Instrument] 43-101 technical report on resources, Indian Springs tungsten property, Elko County, Nevada: Toronto, Ontario, Canada, Galway Resources Ltd., prepared by SRK Consulting Inc., Tucson, Arizona, 116 p.",
MP Materials (2022),"MP Materials, 2022, Reports Fourth Quarter and Full Year 2022 Results: accessed May 9, 2023 at: https://investors.mpmaterials.com/investor-news/news-details/2023/MP-Materials-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx.",https://investors.mpmaterials.com/investor-news/news-details/2023/MP-Materials-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx
MRDS (2005),"U.S. Geological Survey, 2005, Mineral Resource Data System (MRDS): Reston, Virginia, https://mrdata.usgs.gov/mrds/.",https://mrdata.usgs.gov/mrds/
Muntean and others (2020),"Muntean, J.L., Davis, D.A., and Ayling, B., 2020, The Nevada Mineral Industry 2019: Nevada Bureau of Mines and Geology Special Publication MI-2019, 254 p.",
Mulligan (1966),"Mulligan, J.J., 1966, Tin-lode investigations, Cape Mountain Area, Seward Peninsula, Alaska: Bureau of Mines Report of Investigations 6737, 43 p.",https://dggs.alaska.gov/pubs/id/21217
Murray and others (2023),"Murray, K., Fink, D., Boese, C., Bowie, A., Murohy, B., Kim, H., and Wendlandt, P., 2023, NI [Canadian National Instrument] 43-101 technical report and feasibility study, Arctic project, Ambler mining district, Alaska: Vancouver, British Columbia, Canada, Trilogy Metals Inc., prepared by Ausenco Engineering Canada Inc, Vancouver, British Colombia, Canada, 509 p., accessed February 5, 2024 at https://trilogymetals.com/site/assets/files/6136/arctic_ni_43-101.pdf.",https://trilogymetals.com/site/assets/files/6136/arctic_ni_43-101.pdf
Navigator Exploration Corporation (2001),"Navigator Exploration Corporation, 2001, Navigator Exploration Corp. - Option agreement on Kougarok tantalum property: Navigator Exploration Corporation press release, June 13, 2001, 2 p.",
Nevada Bureau of Mines and Geology (2017),"Nevada Bureau of Mines and Geology, 2017, The Nevada mineral industry, 2015: Nevada Bureau of Mines and Geology Special Publication MI-2015, 190 p.",
Nevada Division of Environmental Protection (2021),"Nevada Division of Environmental Protection, 2021, Rossi Barite mine: Fact Sheet, 15 p., accessed May 15, 2023, at https://ndep.nv.gov/uploads/documents/NEV2015112fsFY21.pdf.",https://ndep.nv.gov/uploads/documents/NEV2015112fsFY21.pdf
New World Cobalt Limited (2019),"New World Cobalt Limited, 2019, Acquisition of advanced high-grade copper-gold-zinc VMS project opens up significant new growth front in USA: New World Cobalt Limited ASX release dated April 9, 2019, 32 p., accessed April 4, 2023, at https://newworldres.com/wp-ncontent/uploads/AcquisitionOfTererroCopperGoldZincVMSProject09Apr19.pdf.",https://newworldres.com/wp-ncontent/uploads/AcquisitionOfTererroCopperGoldZincVMSProject09Apr19.pdf
New World Resources (2021),"New World Resources, 2021, Two new high-grade cobalt projects acquired in USA—to be included in upcoming demerger of cobalt assets: New World Resources ASX press release dated November 1, 2021, accessed May 2, 2023, at https://newworldres.com/wp-content/uploads/TwoNewHighGradeCobaltProjectsForUpcomingDemerger01Nov21.pdf.",https://newworldres.com/wp-content/uploads/TwoNewHighGradeCobaltProjectsForUpcomingDemerger01Nov21.pdf
New World Resources (2022),"New World Resources, 2022, Scoping study results-Antler copper project, USA: New World Resources, Executive Summary Scoping Study dated July 2022, 58 p., accessed April 23, 2023, at https://minedocs.com/22/Antler-PEA-07112022.pdf.",https://minedocs.com/22/Antler-PEA-07112022.pdf
Newmex Minerals Inc. (2000),"Newmex Minerals Inc., 2000, Project overview and site maps: Newmex Minerals website, accessed May 3, 2023, at https://web.archive.org/web/20030610121835/http://www.newmex-minerals.com:80/.",https://web.archive.org/web/20030610121835/http://www.newmex-minerals.com:80/
Nieberlein and others (1954),"Nieberlein, V.A., Fine, M.M., Calhoun, W.A., and Parsons, E.W., 1954, Progress report on development of columbian in Arkansas for 1953, U.S. Bureau of Mines Report of Investigations 5064, 23 p.",
Norton and others (1964),"Norton, J.J., and others, 1964, Geology and mineral deposits of some pegmatites in the southern Black Hills South Dakota: U.S. Geological Survey Professional Paper 297-E, 55 p.",https://pubs.er.usgs.gov/publication/pp297E
Nutt and others (1990),"Nutt, C.J., Zimbelman, D.R., Campbell, D.L., Duval, J.S., and Hannigan, B.J., 1990, Mineral resources of the Deep Creek Mountains Wilderness study area, Juab and Tooele counties, Utah: U.S. Geological Survey Bulletin 1745-C, 40 p.",http://pubs.er.usgs.gov/publication/b1745C
Oladeni (2022),"Oladeni, I.A., 2022, Rare-earth element occurrences in heavy mineral sand, southeast Georgia: Atlanta, Georgia State University, MS thesis, 105 p., accessed May 9, 2023, at doi: https://doi.org/10.57709/28900383.",https://doi.org/10.57709/28900383
Orris and Grauch (2002),"Orris, G.J., and Grauch, R.L., 2002, Rare earth element mines, deposits, and occurrences: U.S. Geological Survey Open-File Report 2002-189 (online only), https://doi.org/10.3133/ofr02189.",https://doi.org/10.3133/ofr02189
Osisko Development Corporation (2022),"Osisko Development Corporation, 2022, High grade mining district in central Utah provides new operating mine and exciting frontier for development in one of the best mining jurisdictions in the world: Osisko Development Corporation press release, January 25,2022, accessed April 4, 2023, at https://www.marketscreener.com/quote/stock/OSISKO-DEVELOPMENT-CORP-49478039/news/Osisko-Development-Announces-Proposed-Acquisition-of-Tintic-Consolidated-Metals-37634377/.",https://www.marketscreener.com/quote/stock/OSISKO-DEVELOPMENT-CORP-49478039/news/Osisko-Development-Announces-Proposed-Acquisition-of-Tintic-Consolidated-Metals-37634377/
Pacific Nickel Corp. (1958),"Pacific Nickel Corp.,1958, Red Flats Nickel Project: Pacific Nickel Corp., 273 p., accessed May 9, 2023 at https://www.oregongeology.org/milo/archive/MiningDistricts/CurryCounty/GoldBeachDistrict/RedFlatsPlacers/RedFlatsPlacersReports.pdf.",https://www.oregongeology.org/milo/archive/MiningDistricts/CurryCounty/GoldBeachDistrict/RedFlatsPlacers/RedFlatsPlacersReports.pdf
Patterson (1967),"Patterson, S.H., 1967, Bauxite reserves and potential aluminum resources of the world: U.S. Geological Survey Bulletin 1228, 176 p.",https://pubs.er.usgs.gov/publication/b1228
Pavlides and others (1982),"Pavlides, L., Stern, T.W., Arth, J.G., Muth, K.G., and Newell, M.F., 1982, Middle and upper Paleozoic granitic rocks in the Piedmont near Fredericksburg, Virginia; Geochronology: U.S. Geological Survey Professional Paper 1231-B, 9 p.",https://pubs.er.usgs.gov/publication/pp1231B
Pearre (1960),"Pearre, N.C., and Heyl, A.V., Jr., 1960, Chromite and other mineral deposits in the serpentine rocks of the Piedmont Upland, Maryland, Pennsylvania, and Delaware: U.S. Geological Survey Bulletin 1082-K, p. 707-833.",https://pubs.er.usgs.gov/publication/b1082K
Pearre and Heyl (1960),"Pearre, N.C., and Heyl, A.V., Jr., 1960, Chromite and other mineral deposits in serpentine rocks of the Piedmont Upland, Maryland, Pennsylvania, and Delaware: U.S. Geological Survey Bulletin 1082-K, p. 707–833, plate 40, scale 1:125,000.",https://pubs.er.usgs.gov/publication/b1082K
Peek and Durgin (2021),"Peek, B.C., and Durgin, D., 2021, NI [Canadian National Instrument] 43-101 technical report—updated geology and mineral resources, Green Energy project, Grand County, Utah, USA: Vancouver, British Columbia, Canada, Voltaic Minerals (USA) Inc., prepared by Delve Consultants, Sparks, Nevada, 53 p.",
Peters (2008a),"Peters, D.C., 2008a, NI [Canadian National Instrument] 43-101 technical report on the Willhunt property, San Miguel County, Colorado: Lakewood, Colorado, Energy Fuels Inc., prepared by Peters Geoscience, Golden, Colorado, 36 p.",
Peters (2008b),"Peters, D.C., 2008b, NI [Canadian National Instrument] 43-101 technical report on the Whirlwind property (including Far West and Crosswind claim groups), Mesa County, Colorado and Grand County, Utah: Lakewood, Colorado, Energy Fuels Inc., prepared by Peters Geoscience, Golden, Colorado 51 p.",
Peters (2015),"Peters, D.C., 2015, NI [Canadian National Instrument] 43-101 updated technical report on Sage Plain project (including the Calliham mine), San Juan County, Utah, USA: Lakewood, Colorado, Energy Fuels Inc., prepared by Peters Geoscience, Golden, Colorado, 88 p., https://minedocs.com/20/SagePlain_TR_03182015.pdf.",https://minedocs.com/20/SagePlain_TR_03182015.pdf
Piedmont Lithium (2021),"Piedmont Lithium, 2021, Piedmont increases mineral resources with completion of Phase 5 infill drilling: Piedmont Lithium press release, October 21, 2021, https://piedmontlithium.com/wp-content/uploads/211021-Mineral-Resource-Estimate-Update-FINAL-US.pdf.",https://piedmontlithium.com/wp-content/uploads/211021-Mineral-Resource-Estimate-Update-FINAL-US.pdf
Pirkle and others (1993),"Pirkle, F.L., Pirkle, E.C., Reynolds, J.G., Pirkle, W.A., Henry, J.A., and Rice, W.J., 1993, The Folkston West and Amelia heavy mineral deposits of Trail Ridge, southeastern Georgia: Economic Geology, v. 88, p. 961–971.",
Pirkle and others (2007),"Pirkle, F.L., Pirkle, W.A., and Pirkle, E.C., 2007, Chapter 45 Heavy-Mineral Sands of the Atlantic and Gulf Coastal Plains, USA, in Mange, M.A. and Wright, D.T. eds., Developments in Sedimentology: Elsevier, p. 1144–1232.",
PolyNatura Corp. (2017),"PolyNatura Corp., 2017, resources and reserves: PolyNatura Corporation web page, accessed April 13, 2021, at https://www.polynatura.com/project/resources-and-reserves/.",https://www.polynatura.com/project/resources-and-reserves/
Popoff (1953),"Popoff, C.C., 1953, Hermada antimony deposit, Elmore Country, Idaho: U.S. Bureau of Mines Report of Investigations 4950, 28 p.",
Potash Minerals Ltd. (2013),"Potash Minerals Ltd., 2013, Resource update for JORC 2012 on Hatch Point potash project: Potash Minerals Ltd. press release, December 6, 2013, accessed August 30, 2021 at https://www.asx.com.au/asxpdf/20141114/pdf/42tq5dx1h7t7f8.pdf.",https://www.asx.com.au/asxpdf/20141114/pdf/42tq5dx1h7t7f8.pdf
Puritch and others (2021),"Puritch, E., Sutcliffe, R.H., Brown, F, Salari, D.J. and Czarnowksy, A., 2021, NI [Canadian National Instrument] 43-101 technical report o the Lost Sheep fluorspar property, Juab County, Utah: Vancouver, British Columbia, Canada, Ares Strategic Mining, Inc., prepared by P&E Mining Consultants, Inc., Brampton, Ontario, Canada, 164 p.",
Pye (1971),"Pye, W.D., 1971, Assessment of fluorspar potential of the north end of Keystone Mountain, Challis, Custer County, Idaho: Willard D. Pye Consulting Geologist, 56 p., accessed September 1, 2021, at https://www.idahogeology.org/WebMap/WebData/Mines.asp.",https://www.idahogeology.org/WebMap/WebData/Mines.asp
Ratte and others (1979),"Ratte, J.C., Gaskill, D.L., Eaton, G.P., Peterson, D.L., Stotelmeyer, R.B., and Meeves, H.C., 1979, Mineral resources of the Gila Primitive Area and Gila Wilderness, New Mexico: U.S. Geological Survey Bulletin 1451, 229 p.",http://pubs.er.usgs.gov/publication/b1451
Rauche and van der Klauw (2013),"Rauche, H., and van der Klauw, S., 2013, NI [Canadian National Instrument] 43-101 preliminary economic assessment sylvinite/carnallitite mining in the Holbrook basin, Arizona: Apache Junction, Arizona, Passport Potash Inc., prepared by ERCOSPLAN, Erfurt, Germany, 141 p.",
Ray (2016),"Ray, G.E., 2016, NI [Canadian National Instrument] 43-101 technical report Bridging the Gap Silver (Pb-Zn) Project, Coeur d'Alene mining district, Shoshone County, Idaho, USA: Burnaby, British Columbia, Canada, Bayhorse Silver Inc., prepared by Ray, G.E., Victoria, British Columbia, Canada, 43 p., accessed April 19, 2023 at https://canadianminingreport.com/company_resource/161115_NI43-101_Bayho_Bri_F.pdf.",https://canadianminingreport.com/company_resource/161115_NI43-101_Bayho_Bri_F.pdf
Redden (1959),"Redden, J.A., 1959, Beryl deposits of the Beecher No. 3-Black Diamond Pegmatite Custer County South Dako: U.S. Geological Survey Bulletin 1072-I, 30 p., accessed May 15, 2023, at https://pubs.usgs.gov/bul/1072i/report.pdf.",https://pubs.usgs.gov/bul/1072i/report.pdf
Reed (2008),"Reed, R., 2008, Updated report of rare earth reserves and resources of U.S. Rare Earths, Inc., Diamond Creek, Idaho: Report prepared for U.S. Rare Earths, Inc., 17 p.",
Renaissance Gold Inc. (2013),"Renaissance Gold Inc., 2013, Resource for Trinity Silver Project more than doubles: Renaissance Gold Inc. press release dated January 7, 2013, accessed June 14, 2023, at https://www.businesswire.com/news/home/20130107006620/en/Resource-for-Trinity-Silver-Project-More-Than-Doubles.",https://www.businesswire.com/news/home/20130107006620/en/Resource-for-Trinity-Silver-Project-More-Than-Doubles
Richter and Lawrence (1983),"Richter, D.H., and Lawrence, V.A., 1983, Mineral deposit map of the Silver City 1 degree by 2 degrees quadrangle, New Mexico and Arizona: U.S. Geological Survey Miscellaneous Investigations Series Map I-1310-B, scale 1:250,000.",http://pubs.er.usgs.gov/publication/i1310B
Robertson (1956),"Robertson, E.C., 1956, Magnetite deposits near Klukwan and Haines, southeastern Alaska: U.S. Geological Survey Open-File Report 56-101, 37 p.",https://pubs.er.usgs.gov/publication/ofr56101
Roby (1950),"Roby, R.N., 1950, Mines and mineral deposits, Meagher County, Montana: U.S. Bureau of Mines Information Circular 7540, 40 p.",
Roth and others (2022),"Roth, D., Tahija, L., Iasillo, E., Martina, K., Chow, B., Multer, W., Bahe, K., Kaplan, P., Cluff, T., and Shannon, B., 2022, NI [Canadian National Instrument] feasibility study, technical report for the Thacker Pass Project, Humboldt County, Nevada: Vancouver, British Columbia, Canada, Lithium Americas Corp., prepared by M3 Engineering & Technology Corp., Tucson, Arizona, 335 p.",
Rothrock and others (1946)," Rothrock, H.W., Johnson, C.H., and Hahn, A.D., 1946, Fluorspar resources of New Mexico: New Mexico Bureau of Mines and Mineral Resources, Bulletin 21, 233 p.",
Rynearson and Wells (1944),"Rynearson, G.A., and Wells, F.G., 1944, Geology of the Grey Eagle and some nearby chromite deposits in Glenn County, California: U.S. Geological Survey Bulletin 945-A, 22 p.",https://pubs.er.usgs.gov/publication/b945A
Samari and others (2021),"Samari, H., Moritz, R., and Harvey, J.T., 2021, NI [Canadian National Instrument] technical report preliminary economic assessment Bonnie Claire Lithium Project, Nye County, Nevada: Vancouver, British Columbia, Canada, Iconic Minerals, Ltd., and Nevada Lithium, prepared by Global Resource Engineering, Ltd., Denver, Colorado, 208 p., accessed March 14, 2023 at https://nvlithium.com/bonnie-clair-project/.",https://nvlithium.com/bonnie-clair-project/
Schilling (1960),"Schilling, J.H., 1960, Mineral resources of Taos County, New Mexico: New Mexico Bureau of Mines and Mineral Resources, Bulletin 71, 124 p.",
Schreiner (1993),"Schreiner, R.A., 1993, Mineral investigation of the rare-earth-element-bearing deposits, Red Cloud Mining district, Gallinas Mountains, Lincoln County, New Mexico: U.S. Bureau of Mines, Mineral Land Assessment 99-93, 189 p.",
Schwartz (1925),"Schwartz, G.M., 1925, Geology of the Etta spodumene mine: Economic Geology, v. 20, p. 646–659.",
Shawe (1976),"Shawe, D.R. (ed.), 1976, Geology and resources of fluorine in the United States: U.S. Geological Survey Professional Paper 933, 99 p.",https://pubs.er.usgs.gov/publication/pp933
Sheridan and others (1957),"Sheridan, D.M., Stephens, H.G., Staatz, M.H., and Norton, J.J., 1957, Geology and beryl deposits of the Peerless pegmatite, Pennington County, South Dakota: U.S. Geological Survey Professional Paper 297A, 47 p., http://pubs.er.usgs.gov/publication/pp297A.",http://pubs.er.usgs.gov/publication/pp297A
Sibanye Stillwater (2023),"Sibanye Stillwater, 2023, Sibanye-Stillwater Mineral Resources and Mineral Reserves declaration as at 31 December 2022: Sibanye Stillwater press release dated 17 February, 2023, accessed March 27, 2023, at https://thevault.exchange/?get_group_doc=245/1676626659-ssw-NYSE-RR-declaration-31Dec2022-17feb2023.pdf.",https://thevault.exchange/?get_group_doc=245/1676626659-ssw-NYSE-RR-declaration-31Dec2022-17feb2023.pdf
Slack and others (2022),"Slack, J.F., Beck, F.M., Bradley, D.C., Felch, M.M., Marvinney, J.G., and Whittaker, A.T.H., 2022, Potential for critical mineral deposits in Maine, USA: Atlantic Geoscience, v. 58, p. 155–191.",
Sletten and others (2020),"Sletten, M., Zelligan, S., Frost, D., Yugo, N., Charbonneau, C., and Cameron D.P., 2020, NI [Canadian National Instrument] 43-101F1 technical report feasibility study, Idaho Cobalt Project, Idaho, USA: Victoria, Australia, Jervois, prepared by M3 Engineering & Technology Corp., Tucson, Arizona, 377 p., accessed May 23, 2022, at https://jervoisglobal.com/wp-content/uploads/2021/06/190348_Idaho_Cobalt_13112020_NI_43_101_Technical_Report-FILED-r1.pdf.",https://jervoisglobal.com/wp-content/uploads/2021/06/190348_Idaho_Cobalt_13112020_NI_43_101_Technical_Report-FILED-r1.pdf
SLR International Corporation (2022),"SLR International Corporation, 2022, Technical report summary on the Lucky Friday Mine, Idaho, USA, S-K 1300 Report: Coeur d'Alene, Idaho, Hecla Mining Corporation, prepared by SLR International Corporation, 218 p., https://www.hecla.com/wp-content/uploads/SLR-Hecla-Lucky-Friday-FINAL-S-K-1300-TRS-21-Feb-2022-rev_web.pdf.",https://www.hecla.com/wp-content/uploads/SLR-Hecla-Lucky-Friday-FINAL-S-K-1300-TRS-21-Feb-2022-rev_web.pdf
Smith (2022),"Smith, C.L., 2022, NI [Canadian National Instrument] 43-101 technical report on the El Capitan Project, Lincoln, County, New Mexico: Prescott, Arizona, El Capitan Precious Metals Inc., prepared by C.L. Smith, P.E., Delta, British Columbia, Canada, 40 p., accessed March 14, 2023 at https://www.elcapitanpmi.com/wp-content/uploads/2022/03/El-Capitan-43-101-ReportUpdate_-3-22-2022.pdf.",https://www.elcapitanpmi.com/wp-content/uploads/2022/03/El-Capitan-43-101-ReportUpdate_-3-22-2022.pdf
Smith and Page (1941),"Smith, W.C., and Page, L.R., 1941, Tin-bearing pegmatites of the Tinton district, Lawrence County, South Dakota, a preliminary report: U.S. Geological Survey Bulletin 922-T, p. 595–630.",https://pubs.er.usgs.gov/publication/b922T
South Star Battery Metals Corp. (2023),"South Star Battery Metals Corp., 2023, South Star Battery Metals announces maiden mineral resource estimate for the BamaStar Graphite Project in Coosa County Alabama, USA: South Star Battery Metals Corp. press release dated March 13, 2023, accessed March 27, 2023, at https://www.newswire.ca/news-releases/south-star-battery-metals-announces-maiden-mineral-resource-estimate-for-the-bamastar-graphite-project-in-coosa-county-alabama-usa-896181831.html.",https://www.newswire.ca/news-releases/south-star-battery-metals-announces-maiden-mineral-resource-estimate-for-the-bamastar-graphite-project-in-coosa-county-alabama-usa-896181831.html
South32 Limited (2023),"South32 Limited, 2023, Hermosa project update: South32 Limited press release dated May 98, 2023, accessed June 1, 2023, at https://www.south32.net/docs/default-source/exchange-releases/hermosa-project-update-0x6e16b082af2a4715.pdf?sfvrsn=9a4bb0cc_0.",https://www.south32.net/docs/default-source/exchange-releases/hermosa-project-update-0x6e16b082af2a4715.pdf?sfvrsn=9a4bb0cc_0
Staatz and others (1980),"Staatz, M.H., Hall, R.B., Macke, D.L., Armbrustmacher, T.J., and Brownfield, I.K., 1980, Thorium resources of selected regions in the United States: U.S. Geological Survey Circular 824, 32 p.",https://pubs.er.usgs.gov/publication/cir824
Staatz and Trites (1955),"Staatz, M.H., and Trites, A.F., 1955, Geology of the Quartz Creek pegmatite district, Gunnison County, Colorado: U.S. Geological Survey Professional Paper 265, 111 p.",https://pubs.er.usgs.gov/publication/pp265
Stager and Tingley (1988),"Stager, H.K., and Tingley, J.V., 1988, Tungsten deposits in Nevada: Nevada Bureau of Mines and Geology, Bulletin 105, 258 p.",
Still (1988),"Still, J.C., 1988, Distribution of gold, platinum, palladium, and silver in selected portions of the Bohemia Basin deposits, southeast Alaska (with an appendix on Mirror Harbor): U. S. Bureau of Mines Open-File Report 10-88, 42 p., 10 sheets.",https://dggs.alaska.gov/pubs/id/21333
Stirrett and Shewfelt (2014),"Stirrett, T. and Shewfelt, D., 2014, NI [Canadian National Instrument] 43-101 technical summary report, Sennen Potash Corporation Monument project, potash resource assessment, San Juan county, Utah, United States: Vancouver, British Columbia, Canada, Sennen Potash Corporation, North Rim Exploration, Ltd., Saskatoon, Saskatchewan, Canada, 85 p., accessed August 31, 2021 at http://www.sedar.com.",http://www.sedar.com
Stryhas and others (2019),"Stryhas, B., Clarkson, B.M., and Wright, F., 2019, NI [Canadian National Instrument] 43-101 technical report, Carlin Vanadium Project, Carlin, Nevada: Vancouver, British Columbia, Canada, First Vanadium Corporation, prepared by SRK Consulting (U.S.), Inc., Denver, Colorado, 138 p.",
Suda and others (2009),"Suda, R., Turner, A.R., and Hogge, C., 2009, NI [Canadian National Instrument] 43-101 technical report on the Stillwater Ni-Cu-Co-Cr-PGE project, Stillwater and Sweetwater Counties, Montana USA: Toronto, Ontario, Canada, Nevoro, Inc, prepared by authors, Veradale, Washington, 87 p.",
Swainbank and others (1991),"Swainbank, R.C., Bundtzen, T.K., and Wood, J.E., 1991, Alaska's mineral industry, 1990: Alaska Division of Geological and Geophysical Surveys Special Report 45, 78 p.",https://dggs.alaska.gov/pubs/id/2644
Swainbank and others (1997),"Swainbank, R.C., Bundtzen, T. K., Clough A.H., and Henning, M.W., 1997, Alaska's mineral industry 1996: Alaska Division of Geological and Geophysical Surveys Special Report 51, 68 p.",
Teck (2022),"Teck, 2022, Purpose in action: Teck 2022 Annual Report, accessed April 12, 2023 at https://www.teck.com/media/2022-Annual-Report.pdf.",https://www.teck.com/media/2022-Annual-Report.pdf
The Mosaic Co. (2005-2020),"The Mosaic Co., 2005-2020, 10-K: annual Report Form 10-K, Edgar Securities and Exchange Commission, variously paged, accessed September 1, 2021, at https://www.sec.gov/edgar/searchedgar/companysearch.html.",https://www.sec.gov/edgar/searchedgar/companysearch.html
The Mosaic Co. (2022),"The Mosaic Co., 2022, 10-K: Edgar Securities and Exchange Commission,189 p., accessed May 2, 2023, at https://s1.q4cdn.com/823038994/files/doc_financials/2022/q4/MOS-2022.12.31-10K-Final.pdf.",https://s1.q4cdn.com/823038994/files/doc_financials/2022/q4/MOS-2022.12.31-10K-Final.pdf
Thomas (1957),"Thomas, B.I., 1957, Tin-bearing placer deposits near Tofty, Hot Springs district, central Alaska: U.S. Bureau of Mines Report of Investigations 5373, 56 p.",https://dggs.alaska.gov/pubs/id/21197
Thurow (1082),"Thurow, G.E., 1982, Coal Project Annual Report: Internal Report for Houston Oil and Minerals, Inc. p. 1–10.",
